menu,afghanistan,bangladesh,bhutan,brunei,cambodia,east_timor,fiji,kiribati,laos,malaysia,micronesia,myanmar,nepal,pakistan,papua_new_guinea,solomon_islands,sri_lanka,syria,tonga,uzbekistan,vanuatu,vietnam,yemen,india,indonesia,Total,Fetched_date
construction,346.0,1206.0,23.0,26.0,95.0,13.0,25.0,1.0,201.0,2272.0,2.0,160.0,1620.0,704.0,40.0,1.0,4666.0,370.0,33.0,800.0,33.0,1903.0,580.0,9686.0,2287.0,27093.0,2024-09-08 06:21:33.138713
date,1.0,58.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,5199.0,6.0,0.0,0.0,1.0,8.0,0.0,35.0,0.0,6.0,3.0,215.0,40.0,5587.0,2024-09-08 06:21:33.138713
deprecated,849.0,8147.0,134.0,305.0,423.0,242.0,263.0,22.0,1503.0,5702.0,61.0,1665.0,10538.0,11399.0,1595.0,188.0,12812.0,8908.0,31.0,10314.0,425.0,1966.0,475.0,40230.0,80976.0,199173.0,2024-09-08 06:21:33.138713
disused,92.0,2295.0,20.0,25.0,222.0,115.0,60.0,5.0,530.0,440.0,7.0,1707.0,4513.0,2973.0,36.0,15.0,8046.0,1028.0,1.0,852.0,8.0,932.0,161.0,11791.0,4394.0,40268.0,2024-09-08 06:21:33.138713
double cycleway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-08 06:21:33.138713
duplicate geometry,1805.0,3705.0,1479.0,68.0,72.0,139.0,133.0,9.0,356.0,2847.0,35.0,2359.0,6588.0,2545.0,198.0,90.0,40186.0,1000.0,20.0,2215.0,103.0,2710.0,1011.0,19272.0,30076.0,119021.0,2024-09-08 06:21:33.138713
duplicate object,0.0,30.0,2.0,0.0,4.0,0.0,1.0,0.0,15.0,33.0,0.0,17.0,18.0,23.0,3.0,0.0,10.0,8.0,2.0,21.0,1.0,19.0,2.0,123.0,128.0,460.0,2024-09-08 06:21:33.138713
duplicate wikipedia,6.0,19.0,0.0,0.0,13.0,1.0,2.0,0.0,1.0,58.0,0.0,13.0,3.0,30.0,1.0,0.0,9.0,10.0,0.0,47.0,0.0,15.0,1.0,180.0,64.0,473.0,2024-09-08 06:21:33.138713
duplicated node,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,14.0,2024-09-08 06:21:33.138713
duplicated way,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-09-08 06:21:33.138713
